<a_128><b_64><c_73>	Salmonella gastroenteritis	ICD9CM:0030
<a_253><b_158><c_254>	Autonomic dysreflexia	ICD9CM:3373
<a_25><b_93><c_36>	Unspecified disorder of autonomic nervous system	ICD9CM:3379
<a_117><b_38><c_23>	Acute pain due to trauma	ICD9CM:33811
<a_178><b_141><c_40>	Acute post-thoracotomy pain	ICD9CM:33812
<a_202><b_17><c_40>	Other acute postoperative pain	ICD9CM:33818
<a_250><b_8><c_97>	Other acute pain	ICD9CM:33819
<a_185><b_221><c_179>	Chronic pain due to trauma	ICD9CM:33821
<a_193><b_199><c_95>	Chronic post-thoracotomy pain	ICD9CM:33822
<a_202><b_82><c_214>	Other chronic postoperative pain	ICD9CM:33828
<a_250><b_142><c_142>	Other chronic pain	ICD9CM:33829
<a_231><b_252><c_211>	Neoplasm related pain (acute) (chronic)	ICD9CM:3383
<a_75><b_110><c_52>	Chronic pain syndrome	ICD9CM:3384
<a_223><b_6><c_132>	Other headache syndromes	ICD9CM:33989
<a_124><b_40><c_146>	Multiple sclerosis	ICD9CM:340
<a_124><b_85><c_184>	Neuromyelitis optica	ICD9CM:3410
<a_51><b_100><c_180>	Acute (transverse) myelitis NOS	ICD9CM:34120
<a_51><b_131><c_205>	Demyelinating disease of central nervous system, unspecified	ICD9CM:3419
<a_222><b_95><c_100>	Flaccid hemiplegia and hemiparesis affecting unspecified side	ICD9CM:34200
<a_222><b_54><c_121>	Flaccid hemiplegia and hemiparesis affecting dominant side	ICD9CM:34201
<a_222><b_21><c_100>	Flaccid hemiplegia and hemiparesis affecting nondominant side	ICD9CM:34202
<a_210><b_134><c_239>	Spastic hemiplegia and hemiparesis affecting unspecified side	ICD9CM:34210
<a_210><b_3><c_115>	Spastic hemiplegia and hemiparesis affecting dominant side	ICD9CM:34211
<a_210><b_173><c_4>	Other specified hemiplegia and hemiparesis affecting unspecified side	ICD9CM:34280
<a_210><b_122><c_184>	Other specified hemiplegia and hemiparesis affecting dominant side	ICD9CM:34281
<a_210><b_173><c_3>	Other specified hemiplegia and hemiparesis affecting nondominant side	ICD9CM:34282
<a_184><b_95><c_29>	Hemiplegia, unspecified, affecting unspecified side	ICD9CM:34290
<a_184><b_95><c_151>	Hemiplegia, unspecified, affecting dominant side	ICD9CM:34291
<a_184><b_95><c_230>	Hemiplegia, unspecified, affecting nondominant side	ICD9CM:34292
<a_101><b_186><c_40>	Congenital diplegia	ICD9CM:3430
<a_222><b_180><c_40>	Congenital hemiplegia	ICD9CM:3431
<a_101><b_84><c_128>	Congenital quadriplegia	ICD9CM:3432
<a_222><b_226><c_179>	Infantile hemiplegia	ICD9CM:3434
<a_223><b_230><c_177>	Other specified infantile cerebral palsy	ICD9CM:3438
<a_203><b_119><c_27>	Infantile cerebral palsy, unspecified	ICD9CM:3439
<a_184><b_233><c_202>	Quadriplegia, unspecified	ICD9CM:34400
<a_198><b_121><c_218>	Quadriplegia, C1-C4, complete	ICD9CM:34401
<a_198><b_121><c_208>	Quadriplegia, C5-C7, complete	ICD9CM:34403
<a_198><b_121><c_187>	Quadriplegia, C5-C7, incomplete	ICD9CM:34404
<a_195><b_100><c_211>	Other quadriplegia	ICD9CM:34409
<a_101><b_67><c_52>	Paraplegia	ICD9CM:3441
<a_222><b_44><c_90>	Diplegia of upper limbs	ICD9CM:3442
<a_184><b_70><c_147>	Monoplegia of lower limb affecting unspecified side	ICD9CM:34430
<a_222><b_44><c_23>	Monoplegia of lower limb affecting dominant side	ICD9CM:34431
<a_215><b_252><c_196>	Cauda equina syndrome without mention of neurogenic bladder	ICD9CM:34460
<a_19><b_69><c_214>	Cauda equina syndrome with neurogenic bladder	ICD9CM:34461
<a_133><b_115><c_131>	Locked-in state	ICD9CM:34481
<a_223><b_174><c_179>	Other specified paralytic syndrome	ICD9CM:34489
<a_184><b_24><c_73>	Paralysis, unspecified	ICD9CM:3449
<a_203><b_95><c_164>	Generalized nonconvulsive epilepsy, without mention of intractable epilepsy	ICD9CM:34500
<a_210><b_166><c_89>	Generalized nonconvulsive epilepsy, with intractable epilepsy	ICD9CM:34501
<a_203><b_237><c_40>	Generalized convulsive epilepsy, without mention of intractable epilepsy	ICD9CM:34510
<a_210><b_33><c_184>	Generalized convulsive epilepsy, with intractable epilepsy	ICD9CM:34511
<a_133><b_25><c_40>	Grand mal status	ICD9CM:3453
<a_203><b_40><c_11>	Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, without mention of intractable epilepsy	ICD9CM:34540
<a_210><b_23><c_48>	Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures, with intractable epilepsy	ICD9CM:34541
<a_203><b_58><c_97>	Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, without mention of intractable epilepsy	ICD9CM:34550
<a_210><b_23><c_184>	Localization-related (focal) (partial) epilepsy and epileptic syndromes with simple partial seizures, with intractable epilepsy	ICD9CM:34551
<a_210><b_37><c_89>	Epilepsia partialis continua, without mention of intractable epilepsy	ICD9CM:34570
<a_210><b_6><c_49>	Epilepsia partialis continua, with intractable epilepsy	ICD9CM:34571
<a_84><b_15><c_49>	Other forms of epilepsy and recurrent seizures, without mention of intractable epilepsy	ICD9CM:34580
<a_84><b_104><c_233>	Other forms of epilepsy and recurrent seizures, with intractable epilepsy	ICD9CM:34581
<a_203><b_210><c_205>	Epilepsy, unspecified, without mention of intractable epilepsy	ICD9CM:34590
<a_203><b_237><c_41>	Epilepsy, unspecified, with intractable epilepsy	ICD9CM:34591
<a_203><b_57><c_90>	Migraine with aura, without mention of intractable migraine without mention of status migrainosus	ICD9CM:34600
<a_203><b_50><c_89>	Variants of migraine, not elsewhere classified, without mention of intractable migraine without mention of status migrainosus	ICD9CM:34620
<a_203><b_9><c_134>	Other forms of migraine, without mention of intractable migraine without mention of status migrainosus	ICD9CM:34680
<a_203><b_9><c_205>	Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus	ICD9CM:34690
<a_203><b_57><c_29>	Migraine, unspecified, with intractable migraine, so stated, without mention of status migrainosus	ICD9CM:34691
<a_84><b_59><c_14>	Narcolepsy, without cataplexy	ICD9CM:34700
<a_222><b_127><c_13>	Cerebral cysts	ICD9CM:3480
<a_133><b_47><c_254>	Anoxic brain damage	ICD9CM:3481
<a_222><b_176><c_40>	Benign intracranial hypertension	ICD9CM:3482
<a_82><b_93><c_73>	Encephalopathy, not elsewhere classified	ICD9CM:3483
<a_82><b_93><c_145>	Encephalopathy, unspecified	ICD9CM:34830
<a_102><b_119><c_254>	Metabolic encephalopathy	ICD9CM:34831
<a_223><b_61><c_129>	Other encephalopathy	ICD9CM:34839
<a_253><b_131><c_79>	Compression of brain	ICD9CM:3484
<a_102><b_103><c_96>	Cerebral edema	ICD9CM:3485
<a_223><b_76><c_73>	Other conditions of brain	ICD9CM:3488
<a_191><b_10><c_225>	Brain death	ICD9CM:34882
<a_223><b_76><c_29>	Other conditions of brain	ICD9CM:34889
<a_223><b_74><c_223>	Unspecified condition of brain	ICD9CM:3489
<a_254><b_215><c_92>	Reaction to spinal or lumbar puncture	ICD9CM:3490
<a_82><b_93><c_6>	Disorders of meninges, not elsewhere classified	ICD9CM:3492
<a_201><b_26><c_11>	Accidental puncture or laceration of dura during a procedure	ICD9CM:34931
<a_178><b_141><c_123>	Other dural tear	ICD9CM:34939
<a_253><b_146><c_223>	Cerebrospinal fluid rhinorrhea	ICD9CM:34981
<a_102><b_100><c_150>	Toxic encephalopathy	ICD9CM:34982
<a_223><b_85><c_184>	Other specified disorders of nervous system	ICD9CM:34989
<a_223><b_61><c_39>	Unspecified disorders of nervous system	ICD9CM:3499
<a_101><b_156><c_48>	Trigeminal neuralgia	ICD9CM:3501
<a_51><b_237><c_73>	Trigeminal nerve disorder, unspecified	ICD9CM:3509
<a_222><b_122><c_40>	Bell's palsy	ICD9CM:3510
<a_195><b_108><c_199>	Other facial nerve disorders	ICD9CM:3518
<a_51><b_237><c_23>	Facial nerve disorder, unspecified	ICD9CM:3519
<a_195><b_226><c_139>	Other disorders of glossopharyngeal [9th] nerve	ICD9CM:3522
<a_195><b_146><c_214>	Unspecified disorder of cranial nerves	ICD9CM:3529
<a_170><b_14><c_139>	Brachial plexus lesions	ICD9CM:3530
<a_170><b_191><c_139>	Phantom limb (syndrome)	ICD9CM:3536
<a_252><b_184><c_61>	Carpal tunnel syndrome	ICD9CM:3540
<a_160><b_198><c_235>	Other lesion of median nerve	ICD9CM:3541
<a_166><b_25><c_50>	Lesion of ulnar nerve	ICD9CM:3542
<a_114><b_39><c_90>	Lesion of radial nerve	ICD9CM:3543
<a_124><b_135><c_184>	Mononeuritis multiplex	ICD9CM:3545
<a_122><b_94><c_239>	Other mononeuritis of upper limb	ICD9CM:3548
<a_51><b_246><c_205>	Mononeuritis of upper limb, unspecified	ICD9CM:3549
<a_170><b_152><c_116>	Lesion of sciatic nerve	ICD9CM:3550
<a_170><b_221><c_199>	Meralgia paresthetica	ICD9CM:3551
<a_166><b_156><c_244>	Other lesion of femoral nerve	ICD9CM:3552
<a_166><b_240><c_221>	Lesion of lateral popliteal nerve	ICD9CM:3553
<a_166><b_25><c_109>	Lesion of plantar nerve	ICD9CM:3556
<a_122><b_62><c_40>	Other mononeuritis of lower limb	ICD9CM:35579
<a_51><b_50><c_46>	Mononeuritis of lower limb, unspecified	ICD9CM:3558
<a_51><b_197><c_116>	Mononeuritis of unspecified site	ICD9CM:3559
<a_75><b_180><c_100>	Peroneal muscular atrophy	ICD9CM:3561
<a_122><b_122><c_184>	Other specified idiopathic peripheral neuropathy	ICD9CM:3568
<a_122><b_234><c_40>	Unspecified hereditary and idiopathic peripheral neuropathy	ICD9CM:3569
<a_124><b_61><c_88>	Acute infective polyneuritis	ICD9CM:3570
<a_75><b_226><c_121>	Polyneuropathy in diabetes	ICD9CM:3572
<a_124><b_84><c_40>	Polyneuropathy in malignant disease	ICD9CM:3573
<a_122><b_122><c_5>	Polyneuropathy in other diseases classified elsewhere	ICD9CM:3574
<a_124><b_12><c_128>	Alcoholic polyneuropathy	ICD9CM:3575
<a_209><b_168><c_107>	Polyneuropathy due to drugs	ICD9CM:3576
<a_9><b_111><c_172>	Polyneuropathy due to other toxic agents	ICD9CM:3577
<a_124><b_98><c_121>	Chronic inflammatory demyelinating polyneuritis	ICD9CM:35781
<a_101><b_91><c_9>	Critical illness polyneuropathy	ICD9CM:35782
<a_122><b_85><c_244>	Other inflammatory and toxic neuropathy	ICD9CM:35789
<a_75><b_180><c_9>	Myasthenia gravis	ICD9CM:3580
<a_75><b_23><c_221>	Myasthenia gravis without (acute) exacerbation	ICD9CM:35800
<a_101><b_12><c_128>	Myasthenia gravis with (acute) exacerbation	ICD9CM:35801
<a_122><b_58><c_97>	Myasthenic syndromes in diseases classified elsewhere	ICD9CM:3581
<a_51><b_50><c_179>	Myoneural disorders, unspecified	ICD9CM:3589
<a_75><b_213><c_100>	Hereditary progressive muscular dystrophy	ICD9CM:3591
<a_75><b_22><c_40>	Myotonia congenita	ICD9CM:35922
<a_124><b_230><c_128>	Toxic myopathy	ICD9CM:3594
<a_124><b_41><c_201>	Inclusion body myositis	ICD9CM:35971
<a_101><b_42><c_40>	Critical illness myopathy	ICD9CM:35981
<a_122><b_106><c_209>	Other myopathies	ICD9CM:35989
<a_51><b_227><c_202>	Myopathy, unspecified	ICD9CM:3599
<a_156><b_162><c_14>	Purulent endophthalmitis, unspecified	ICD9CM:36000
<a_109><b_21><c_49>	Acute endophthalmitis	ICD9CM:36001
<a_36><b_54><c_213>	Panophthalmitis	ICD9CM:36002
<a_152><b_154><c_121>	Chronic endophthalmitis	ICD9CM:36003
<a_2><b_239><c_179>	Other endophthalmitis	ICD9CM:36019
<a_136><b_118><c_40>	Degenerated globe or eye, unspecified	ICD9CM:36040
<a_205><b_169><c_139>	Recent retinal detachment, total or subtotal	ICD9CM:36105
<a_43><b_40><c_33>	Old retinal detachment, total or subtotal	ICD9CM:36107
<a_237><b_184><c_52>	Other forms of retinal detachment	ICD9CM:36189
<a_43><b_83><c_139>	Unspecified retinal detachment	ICD9CM:3619
<a_205><b_102><c_184>	Background diabetic retinopathy	ICD9CM:36201
<a_43><b_191><c_214>	Proliferative diabetic retinopathy	ICD9CM:36202
<a_43><b_8><c_40>	Severe nonproliferative diabetic retinopathy	ICD9CM:36206
<a_136><b_9><c_36>	Background retinopathy, unspecified	ICD9CM:36210
<a_253><b_225><c_254>	Hypertensive retinopathy	ICD9CM:36211
<a_43><b_83><c_40>	Changes in vascular appearance of retina	ICD9CM:36213
<a_43><b_163><c_217>	Retrolental fibroplasia	ICD9CM:36221
<a_136><b_57><c_135>	Retinal vascular occlusion, unspecified	ICD9CM:36230
<a_32><b_120><c_239>	Partial retinal arterial occlusion	ICD9CM:36233
<a_32><b_15><c_135>	Transient retinal arterial occlusion	ICD9CM:36234
<a_136><b_118><c_124>	Macular degeneration (senile), unspecified	ICD9CM:36250
<a_43><b_110><c_214>	Nonexudative senile macular degeneration	ICD9CM:36251
<a_43><b_218><c_40>	Cystoid macular degeneration	ICD9CM:36253
<a_43><b_122><c_0>	Pigmentary retinal dystrophy	ICD9CM:36274
<a_161><b_132><c_29>	Retinal hemorrhage	ICD9CM:36281
<a_161><b_135><c_33>	Retinal edema	ICD9CM:36283
<a_161><b_58><c_201>	Retinal ischemia	ICD9CM:36284
<a_97><b_193><c_116>	Chorioretinitis, unspecified	ICD9CM:36320
<a_161><b_132><c_237>	Expulsive choroidal hemorrhage	ICD9CM:36362
<a_156><b_246><c_19>	Acute and subacute iridocyclitis, unspecified	ICD9CM:36400
<a_0><b_113><c_199>	Unspecified iridocyclitis	ICD9CM:3643
<a_43><b_40><c_233>	Low tension open-angle glaucoma	ICD9CM:36512
<a_237><b_91><c_239>	Glaucoma associated with systemic syndromes	ICD9CM:36544
<a_177><b_80><c_127>	Glaucoma associated with vascular disorders	ICD9CM:36563
<a_136><b_9><c_124>	Glaucoma stage, unspecified	ICD9CM:36570
<a_237><b_122><c_44>	Other specified glaucoma	ICD9CM:36589
<a_68><b_24><c_73>	Unspecified glaucoma	ICD9CM:3659
<a_43><b_218><c_139>	Senile nuclear sclerosis	ICD9CM:36616
<a_237><b_110><c_190>	Other cataract	ICD9CM:3668
<a_218><b_174><c_150>	Unspecified cataract	ICD9CM:3669
<a_205><b_127><c_130>	Sudden visual loss	ICD9CM:36811
<a_55><b_85><c_201>	Visual discomfort	ICD9CM:36813
<a_237><b_21><c_37>	Other visual distortions and entoptic phenomena	ICD9CM:36815
<a_55><b_168><c_129>	Psychophysical visual disturbances	ICD9CM:36816
<a_27><b_134><c_52>	Diplopia	ICD9CM:3682
<a_136><b_95><c_100>	Visual field defect, unspecified	ICD9CM:36840
<a_27><b_58><c_40>	Homonymous bilateral field defects	ICD9CM:36846
<a_27><b_44><c_139>	Heteronymous bilateral field defects	ICD9CM:36847
<a_195><b_37><c_77>	Other specified visual disturbances	ICD9CM:3688
<a_195><b_6><c_89>	Unspecified visual disturbance	ICD9CM:3689
<a_184><b_111><c_29>	Profound impairment, both eyes, impairment level not further specified	ICD9CM:36900
<a_27><b_37><c_128>	Unqualified visual loss, both eyes	ICD9CM:3693
<a_55><b_134><c_4>	Legal blindness, as defined in U.S.A.	ICD9CM:3694
<a_184><b_111><c_72>	Profound impairment, one eye, impairment level not further specified	ICD9CM:36960
<a_184><b_111><c_47>	Moderate or severe impairment, one eye, impairment level not further specified	ICD9CM:36970
<a_27><b_186><c_113>	Unqualified visual loss, one eye	ICD9CM:3698
<a_27><b_37><c_113>	Unspecified visual loss	ICD9CM:3699
<a_97><b_210><c_40>	Corneal ulcer, unspecified	ICD9CM:37000
<a_152><b_110><c_40>	Mycotic corneal ulcer	ICD9CM:37005
<a_43><b_41><c_14>	Photokeratitis	ICD9CM:37024
<a_152><b_83><c_40>	Exposure keratoconjunctivitis	ICD9CM:37034
<a_30><b_90><c_217>	Other forms of keratitis	ICD9CM:3708
<a_136><b_73><c_54>	Corneal degeneration, unspecified	ICD9CM:37140
<a_43><b_16><c_214>	Band-shaped keratopathy	ICD9CM:37143
<a_237><b_16><c_90>	Other corneal disorders	ICD9CM:37189
<a_156><b_195><c_142>	Acute conjunctivitis, unspecified	ICD9CM:37200
<a_2><b_239><c_48>	Other mucopurulent conjunctivitis	ICD9CM:37203
<a_97><b_185><c_109>	Conjunctivitis, unspecified	ICD9CM:37230
<a_2><b_65><c_200>	Other conjunctivitis	ICD9CM:37239
<a_136><b_52><c_154>	Pterygium, unspecified	ICD9CM:37240
<a_161><b_134><c_131>	Conjunctival hemorrhage	ICD9CM:37272
<a_161><b_134><c_121>	Conjunctival edema	ICD9CM:37273
<a_97><b_189><c_225>	Blepharitis, unspecified	ICD9CM:37300
<a_255><b_145><c_98>	Hordeolum internum	ICD9CM:37312
<a_36><b_41><c_52>	Abscess of eyelid	ICD9CM:37313
<a_255><b_135><c_209>	Chalazion	ICD9CM:3732
<a_136><b_195><c_116>	Lagophthalmos, unspecified	ICD9CM:37420
<a_136><b_189><c_40>	Ptosis of eyelid, unspecified	ICD9CM:37430
<a_177><b_76><c_97>	Myogenic ptosis	ICD9CM:37432
<a_177><b_83><c_139>	Abnormal innervation syndrome of eyelid	ICD9CM:37443
<a_43><b_110><c_190>	Hyperpigmentation of eyelid	ICD9CM:37452
<a_237><b_122><c_214>	Other disorders of eyelid	ICD9CM:37489
<a_36><b_80><c_61>	Acute dacryoadenitis	ICD9CM:37501
<a_136><b_52><c_40>	Tear film insufficiency, unspecified	ICD9CM:37515
<a_36><b_75><c_121>	Orbital cellulitis	ICD9CM:37601
<a_36><b_75><c_155>	Orbital osteomyelitis	ICD9CM:37603
<a_136><b_75><c_214>	Exophthalmos, unspecified	ICD9CM:37630
<a_253><b_204><c_128>	Orbital hemorrhage	ICD9CM:37632
<a_161><b_135><c_209>	Orbital edema or congestion	ICD9CM:37633
<a_205><b_208><c_40>	Enophthalmos due to trauma or surgery	ICD9CM:37652
<a_195><b_115><c_49>	Other orbital disorders	ICD9CM:37689
<a_253><b_154><c_40>	Papilledema associated with increased intracranial pressure	ICD9CM:37701
<a_136><b_246><c_52>	Optic atrophy, unspecified	ICD9CM:37710
<a_177><b_180><c_21>	Hereditary optic atrophy	ICD9CM:37716
<a_51><b_254><c_252>	Optic neuritis, unspecified	ICD9CM:37730
<a_195><b_75><c_200>	Other optic neuritis	ICD9CM:37739
<a_27><b_0><c_121>	Ischemic optic neuropathy	ICD9CM:37741
<a_195><b_106><c_40>	Other disorders of optic nerve	ICD9CM:37749
<a_222><b_63><c_40>	Cortical blindness	ICD9CM:37775
<a_136><b_195><c_236>	Exotropia, unspecified	ICD9CM:37810
<a_205><b_16><c_100>	Exophoria	ICD9CM:37842
<a_136><b_60><c_147>	Paralytic strabismus, unspecified	ICD9CM:37850
<a_27><b_58><c_179>	Third or oculomotor nerve palsy, partial	ICD9CM:37851
<a_27><b_75><c_247>	Third or oculomotor nerve palsy, total	ICD9CM:37852
<a_27><b_75><c_214>	Sixth or abducens nerve palsy	ICD9CM:37854
<a_222><b_16><c_139>	Internuclear ophthalmoplegia	ICD9CM:37886
<a_195><b_12><c_214>	Other dissociated deviation of eye movements	ICD9CM:37887
<a_195><b_234><c_128>	Unspecified disorder of eye movements	ICD9CM:3789
<a_97><b_58><c_124>	Scleritis, unspecified	ICD9CM:37900
<a_43><b_135><c_179>	Vitreous degeneration	ICD9CM:37921
<a_43><b_110><c_40>	Crystalline deposits in vitreous	ICD9CM:37922
<a_161><b_44><c_139>	Vitreous hemorrhage	ICD9CM:37923
<a_237><b_179><c_40>	Other vitreous opacities	ICD9CM:37924
<a_136><b_197><c_187>	Abnormal pupillary function, unspecified	ICD9CM:37940
<a_27><b_16><c_139>	Anisocoria	ICD9CM:37941
<a_205><b_187><c_71>	Miosis (persistent), not due to miotics	ICD9CM:37942
<a_205><b_122><c_40>	Mydriasis (persistent), not due to mydriatics	ICD9CM:37943
<a_136><b_131><c_205>	Nystagmus, unspecified	ICD9CM:37950
<a_237><b_16><c_23>	Other specified disorders of eye and adnexa	ICD9CM:3798
<a_136><b_70><c_40>	Disorder of eye, unspecified	ICD9CM:37990
<a_205><b_110><c_52>	Pain in or around eye	ICD9CM:37991
<a_205><b_134><c_40>	Swelling or mass of eye	ICD9CM:37992
<a_156><b_223><c_52>	Infective otitis externa, unspecified	ICD9CM:38010
<a_2><b_41><c_0>	Other acute otitis externa	ICD9CM:38022
<a_255><b_44><c_40>	Impacted cerumen	ICD9CM:3804
<a_134><b_246><c_41>	Nonsuppurative otitis media, not specified as acute or chronic	ICD9CM:3814
<a_36><b_42><c_40>	Acute suppurative otitis media with spontaneous rupture of eardrum	ICD9CM:38201
<a_81><b_174><c_116>	Unspecified otitis media	ICD9CM:3829
<a_2><b_138><c_253>	Acute mastoiditis without complications	ICD9CM:38300
<a_2><b_199><c_223>	Unspecified mastoiditis	ICD9CM:3839
<a_237><b_122><c_184>	Other disorders of middle ear and mastoid	ICD9CM:38589
<a_51><b_253><c_38>	M̩ni̬re's disease, unspecified	ICD9CM:38600
<a_27><b_22><c_200>	Benign paroxysmal positional vertigo	ICD9CM:38611
<a_222><b_16><c_40>	Vestibular neuronitis	ICD9CM:38612
<a_195><b_44><c_200>	Other peripheral vertigo	ICD9CM:38619
<a_51><b_185><c_139>	Labyrinthitis, unspecified	ICD9CM:38630
<a_68><b_100><c_124>	Tinnitus, unspecified	ICD9CM:38830
<a_253><b_164><c_116>	Cerebrospinal fluid otorrhea	ICD9CM:38861
<a_2><b_194><c_7>	Other otorrhea	ICD9CM:38869
<a_97><b_189><c_29>	Otalgia, unspecified	ICD9CM:38870
<a_237><b_64><c_199>	Other disorders of ear	ICD9CM:3888
<a_136><b_95><c_235>	Conductive hearing loss, unspecified	ICD9CM:38900
<a_136><b_95><c_91>	Sensorineural hearing loss, unspecified	ICD9CM:38910
<a_222><b_37><c_105>	Neural hearing loss, bilateral	ICD9CM:38912
<a_27><b_51><c_233>	Sensorineural hearing loss, unilateral	ICD9CM:38915
