<a_2><b_222><c_42>	Salmonella gastroenteritis	ICD9CM:0030
<a_247><b_173><c_242>	Other late effects of cerebrovascular disease	ICD9CM:43889
<a_247><b_7><c_166>	Unspecified late effects of cerebrovascular disease	ICD9CM:4389
<a_210><b_224><c_63>	Atherosclerosis of aorta	ICD9CM:4400
<a_210><b_160><c_139>	Atherosclerosis of renal artery	ICD9CM:4401
<a_210><b_221><c_206>	Atherosclerosis of native arteries of the extremities, unspecified	ICD9CM:44020
<a_210><b_246><c_162>	Atherosclerosis of native arteries of the extremities with intermittent claudication	ICD9CM:44021
<a_210><b_68><c_149>	Atherosclerosis of native arteries of the extremities with rest pain	ICD9CM:44022
<a_210><b_192><c_73>	Atherosclerosis of native arteries of the extremities with ulceration	ICD9CM:44023
<a_210><b_245><c_4>	Atherosclerosis of native arteries of the extremities with gangrene	ICD9CM:44024
<a_210><b_221><c_58>	Other atherosclerosis of native arteries of the extremities	ICD9CM:44029
<a_210><b_244><c_70>	Atherosclerosis of unspecified bypass graft of the extremities	ICD9CM:44030
<a_210><b_140><c_16>	Atherosclerosis of autologous vein bypass graft of the extremities	ICD9CM:44031
<a_210><b_140><c_43>	Atherosclerosis of nonautologous biological bypass graft of the extremities	ICD9CM:44032
<a_210><b_176><c_248>	Chronic total occlusion of artery of the extremities	ICD9CM:4404
<a_210><b_160><c_197>	Atherosclerosis of other specified arteries	ICD9CM:4408
<a_210><b_77><c_95>	Generalized and unspecified atherosclerosis	ICD9CM:4409
<a_77><b_204><c_58>	Dissection of aorta, unspecified site	ICD9CM:44100
<a_77><b_36><c_106>	Dissection of aorta, thoracic	ICD9CM:44101
<a_77><b_220><c_214>	Dissection of aorta, abdominal	ICD9CM:44102
<a_77><b_103><c_214>	Dissection of aorta, thoracoabdominal	ICD9CM:44103
<a_77><b_59><c_16>	Thoracic aneurysm, ruptured	ICD9CM:4411
<a_77><b_59><c_92>	Thoracic aneurysm without mention of rupture	ICD9CM:4412
<a_77><b_204><c_17>	Abdominal aneurysm, ruptured	ICD9CM:4413
<a_77><b_204><c_1>	Abdominal aneurysm without mention of rupture	ICD9CM:4414
<a_77><b_54><c_147>	Thoracoabdominal aneurysm, ruptured	ICD9CM:4416
<a_77><b_59><c_41>	Thoracoabdominal aneurysm, without mention of rupture	ICD9CM:4417
<a_231><b_209><c_205>	Aneurysm of artery of upper extremity	ICD9CM:4420
<a_231><b_87><c_63>	Aneurysm of renal artery	ICD9CM:4421
<a_231><b_158><c_214>	Aneurysm of iliac artery	ICD9CM:4422
<a_231><b_245><c_71>	Aneurysm of artery of lower extremity	ICD9CM:4423
<a_231><b_204><c_63>	Aneurysm of artery of neck	ICD9CM:44281
<a_231><b_7><c_16>	Aneurysm of splenic artery	ICD9CM:44283
<a_231><b_7><c_1>	Aneurysm of other visceral artery	ICD9CM:44284
<a_231><b_115><c_250>	Aneurysm of other specified artery	ICD9CM:44289
<a_69><b_245><c_8>	Raynaud's syndrome	ICD9CM:4430
<a_231><b_220><c_106>	Dissection of carotid artery	ICD9CM:44321
<a_231><b_158><c_223>	Dissection of iliac artery	ICD9CM:44322
<a_231><b_87><c_67>	Dissection of renal artery	ICD9CM:44323
<a_231><b_10><c_106>	Dissection of vertebral artery	ICD9CM:44324
<a_231><b_181><c_73>	Dissection of other artery	ICD9CM:44329
<a_69><b_112><c_42>	Peripheral angiopathy in diseases classified elsewhere	ICD9CM:44381
<a_69><b_214><c_78>	Other specified peripheral vascular diseases	ICD9CM:44389
<a_69><b_112><c_103>	Peripheral vascular disease, unspecified	ICD9CM:4439
<a_77><b_245><c_136>	Embolism and thrombosis of abdominal aorta	ICD9CM:4440
<a_77><b_245><c_15>	Other arterial embolism and thrombosis of abdominal aorta	ICD9CM:44409
<a_77><b_206><c_201>	Embolism and thrombosis of thoracic aorta	ICD9CM:4441
<a_210><b_250><c_52>	Arterial embolism and thrombosis of upper extremity	ICD9CM:44421
<a_210><b_250><c_222>	Arterial embolism and thrombosis of lower extremity	ICD9CM:44422
<a_77><b_191><c_207>	Embolism and thrombosis of iliac artery	ICD9CM:44481
<a_77><b_168><c_1>	Embolism and thrombosis of other specified artery	ICD9CM:44489
<a_77><b_168><c_4>	Embolism and thrombosis of unspecified artery	ICD9CM:4449
<a_210><b_214><c_222>	Atheroembolism of lower extremity	ICD9CM:44502
<a_77><b_216><c_207>	Atheroembolism of kidney	ICD9CM:44581
<a_69><b_217><c_22>	Polyarteritis nodosa	ICD9CM:4460
<a_69><b_13><c_120>	Hypersensitivity angiitis, unspecified	ICD9CM:44620
<a_69><b_97><c_219>	Goodpasture's syndrome	ICD9CM:44621
<a_69><b_13><c_90>	Other specified hypersensitivity angiitis	ICD9CM:44629
<a_69><b_222><c_162>	Wegener's granulomatosis	ICD9CM:4464
<a_69><b_220><c_140>	Giant cell arteritis	ICD9CM:4465
<a_69><b_179><c_59>	Thrombotic microangiopathy	ICD9CM:4466
<a_69><b_220><c_24>	Takayasu's disease	ICD9CM:4467
<a_231><b_89><c_29>	Arteriovenous fistula, acquired	ICD9CM:4470
<a_231><b_83><c_133>	Stricture of artery	ICD9CM:4471
<a_231><b_115><c_29>	Rupture of artery	ICD9CM:4472
<a_178><b_55><c_208>	Celiac artery compression syndrome	ICD9CM:4474
<a_69><b_220><c_70>	Arteritis, unspecified	ICD9CM:4476
<a_77><b_59><c_4>	Thoracoabdominal aortic ectasia	ICD9CM:44773
<a_69><b_126><c_179>	Other specified disorders of arteries and arterioles	ICD9CM:4478
<a_69><b_126><c_165>	Unspecified disorders of arteries and arterioles	ICD9CM:4479
<a_69><b_6><c_146>	Other and unspecified capillary diseases	ICD9CM:4489
<a_77><b_116><c_79>	Septic arterial embolism	ICD9CM:449
<a_150><b_83><c_221>	Phlebitis and thrombophlebitis of superficial vessels of lower extremities	ICD9CM:4510
<a_150><b_83><c_50>	Phlebitis and thrombophlebitis of femoral vein (deep) (superficial)	ICD9CM:45111
<a_150><b_83><c_131>	Phlebitis and thrombophlebitis of deep veins of lower extremities, other	ICD9CM:45119
<a_150><b_69><c_93>	Phlebitis and thrombophlebitis of lower extremities, unspecified	ICD9CM:4512
<a_70><b_96><c_50>	Phlebitis and thrombophlebitis of superficial veins of upper extremities	ICD9CM:45182
<a_70><b_96><c_38>	Phlebitis and thrombophlebitis of deep veins of upper extremities	ICD9CM:45183
<a_70><b_96><c_125>	Phlebitis and thrombophlebitis of upper extremities, unspecified	ICD9CM:45184
<a_150><b_65><c_225>	Phlebitis and thrombophlebitis of other sites	ICD9CM:45189
<a_150><b_77><c_92>	Phlebitis and thrombophlebitis of unspecified site	ICD9CM:4519
<a_150><b_228><c_214>	Portal vein thrombosis	ICD9CM:452
<a_150><b_187><c_65>	Budd-chiari syndrome	ICD9CM:4530
<a_150><b_241><c_75>	Thrombophlebitis migrans	ICD9CM:4531
<a_150><b_6><c_95>	Other venous embolism and thrombosis of inferior vena cava	ICD9CM:4532
<a_150><b_187><c_73>	Other venous embolism and thrombosis of renal vein	ICD9CM:4533
<a_150><b_129><c_88>	Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity	ICD9CM:45340
<a_150><b_129><c_207>	Acute venous embolism and thrombosis of deep vessels of proximal lower extremity	ICD9CM:45341
<a_150><b_129><c_133>	Acute venous embolism and thrombosis of deep vessels of distal lower extremity	ICD9CM:45342
<a_150><b_245><c_142>	Chronic venous embolism and thrombosis of unspecified deep vessels of lower extremity	ICD9CM:45350
<a_150><b_245><c_83>	Chronic venous embolism and thrombosis of deep vessels of proximal lower extremity	ICD9CM:45351
<a_150><b_245><c_11>	Chronic venous embolism and thrombosis of deep vessels of distal lower extremity	ICD9CM:45352
<a_150><b_246><c_203>	Venous embolism and thrombosis of superficial vessels of lower extremity	ICD9CM:4536
<a_70><b_112><c_1>	Chronic venous embolism and thrombosis of superficial veins of upper extremity	ICD9CM:45371
<a_70><b_112><c_3>	Chronic venous embolism and thrombosis of deep veins of upper extremity	ICD9CM:45372
<a_70><b_108><c_5>	Chronic venous embolism and thrombosis of axillary veins	ICD9CM:45374
<a_70><b_225><c_239>	Chronic venous embolism and thrombosis of subclavian veins	ICD9CM:45375
<a_70><b_6><c_202>	Chronic venous embolism and thrombosis of internal jugular veins	ICD9CM:45376
<a_70><b_187><c_140>	Chronic venous embolism and thrombosis of other thoracic veins	ICD9CM:45377
<a_150><b_173><c_2>	Acute venous embolism and thrombosis of other specified veins	ICD9CM:4538
<a_70><b_245><c_139>	Acute venous embolism and thrombosis of superficial veins of upper extremity	ICD9CM:45381
<a_70><b_245><c_63>	Acute venous embolism and thrombosis of deep veins of upper extremity	ICD9CM:45382
<a_70><b_192><c_84>	Acute venous embolism and thrombosis of upper extremity, unspecified	ICD9CM:45383
<a_70><b_173><c_59>	Acute venous embolism and thrombosis of axillary veins	ICD9CM:45384
<a_70><b_173><c_67>	Acute venous embolism and thrombosis of subclavian veins	ICD9CM:45385
<a_70><b_92><c_95>	Acute venous embolism and thrombosis of internal jugular veins	ICD9CM:45386
<a_70><b_59><c_151>	Acute venous embolism and thrombosis of other thoracic veins	ICD9CM:45387
<a_150><b_173><c_3>	Acute venous embolism and thrombosis of other specified veins	ICD9CM:45389
<a_150><b_126><c_152>	Other venous embolism and thrombosis of unspecified site	ICD9CM:4539
<a_29><b_45><c_105>	Varicose veins of lower extremities with ulcer	ICD9CM:4540
<a_29><b_45><c_148>	Asymptomatic varicose veins	ICD9CM:4549
<a_201><b_153><c_169>	Internal hemorrhoids without mention of complication	ICD9CM:4550
<a_29><b_72><c_207>	Internal thrombosed hemorrhoids	ICD9CM:4551
<a_201><b_30><c_5>	Internal hemorrhoids with other complication	ICD9CM:4552
<a_201><b_153><c_93>	External hemorrhoids without mention of complication	ICD9CM:4553
<a_201><b_30><c_242>	External hemorrhoids with other complication	ICD9CM:4555
<a_201><b_153><c_148>	Unspecified hemorrhoids without mention of complication	ICD9CM:4556
<a_201><b_30><c_67>	Unspecified hemorrhoids with other complication	ICD9CM:4558
<a_29><b_244><c_169>	Residual hemorrhoidal skin tags	ICD9CM:4559
<a_201><b_197><c_218>	Esophageal varices with bleeding	ICD9CM:4560
<a_201><b_72><c_201>	Esophageal varices without mention of bleeding	ICD9CM:4561
<a_201><b_197><c_95>	Esophageal varices in diseases classified elsewhere, with bleeding	ICD9CM:45620
<a_201><b_197><c_41>	Esophageal varices in diseases classified elsewhere, without mention of bleeding	ICD9CM:45621
<a_29><b_129><c_38>	Varices of other sites	ICD9CM:4568
<a_29><b_194><c_226>	Postmastectomy lymphedema syndrome	ICD9CM:4570
<a_29><b_168><c_131>	Other lymphedema	ICD9CM:4571
<a_29><b_188><c_18>	Other noninfectious disorders of lymphatic channels	ICD9CM:4578
<a_29><b_228><c_103>	Orthostatic hypotension	ICD9CM:4580
<a_29><b_6><c_86>	Chronic hypotension	ICD9CM:4581
<a_29><b_228><c_93>	Iatrogenic hypotension	ICD9CM:4582
<a_29><b_28><c_197>	Hypotension of hemodialysis	ICD9CM:45821
<a_29><b_228><c_121>	Other iatrogenic hypotension	ICD9CM:45829
<a_29><b_228><c_202>	Other specified hypotension	ICD9CM:4588
<a_29><b_126><c_128>	Hypotension, unspecified	ICD9CM:4589
<a_29><b_195><c_46>	Hemorrhage, unspecified	ICD9CM:4590
<a_29><b_191><c_105>	Postphlebetic syndrome without complications	ICD9CM:45910
<a_29><b_245><c_201>	Compression of vein	ICD9CM:4592
<a_29><b_105><c_50>	Venous (peripheral) insufficiency, unspecified	ICD9CM:45981
<a_29><b_255><c_157>	Other specified disorders of circulatory system	ICD9CM:45989
<a_29><b_16><c_157>	Unspecified circulatory system disorder	ICD9CM:4599
<a_244><b_150><c_50>	Acute maxillary sinusitis	ICD9CM:4610
<a_244><b_6><c_92>	Acute sphenoidal sinusitis	ICD9CM:4613
<a_244><b_214><c_175>	Other acute sinusitis	ICD9CM:4618
<a_244><b_214><c_46>	Acute sinusitis, unspecified	ICD9CM:4619
<a_160><b_250><c_70>	Acute pharyngitis	ICD9CM:462
<a_98><b_228><c_2>	Acute laryngitis without mention of obstruction	ICD9CM:46400
<a_98><b_71><c_84>	Acute tracheitis without mention of obstruction	ICD9CM:46410
<a_98><b_6><c_58>	Acute tracheitis with obstruction	ICD9CM:46411
<a_98><b_228><c_11>	Acute epiglottitis without mention of obstruction	ICD9CM:46430
<a_98><b_187><c_71>	Acute epiglottitis with obstruction	ICD9CM:46431
<a_98><b_228><c_43>	Supraglottitis unspecified, with obstruction	ICD9CM:46451
<a_244><b_2><c_65>	Acute upper respiratory infections of unspecified site	ICD9CM:4659
<a_236><b_126><c_152>	Acute bronchitis	ICD9CM:4660
<a_7><b_182><c_105>	Acute bronchiolitis due to respiratory syncytial virus (RSV)	ICD9CM:46611
<a_7><b_45><c_147>	Acute bronchiolitis due to other infectious organisms	ICD9CM:46619
<a_244><b_220><c_2>	Deviated nasal septum	ICD9CM:470
<a_244><b_220><c_113>	Polyp of nasal cavity	ICD9CM:4710
<a_244><b_220><c_43>	Other polyp of sinus	ICD9CM:4718
<a_244><b_136><c_239>	Unspecified nasal polyp	ICD9CM:4719
<a_244><b_181><c_104>	Chronic rhinitis	ICD9CM:4720
<a_244><b_115><c_140>	Chronic maxillary sinusitis	ICD9CM:4730
<a_244><b_241><c_67>	Chronic frontal sinusitis	ICD9CM:4731
<a_244><b_13><c_183>	Chronic ethmoidal sinusitis	ICD9CM:4732
<a_244><b_241><c_142>	Chronic sphenoidal sinusitis	ICD9CM:4733
<a_244><b_221><c_96>	Other chronic sinusitis	ICD9CM:4738
<a_244><b_68><c_96>	Unspecified sinusitis (chronic)	ICD9CM:4739
<a_160><b_144><c_168>	Chronic tonsillitis	ICD9CM:47400
<a_244><b_8><c_7>	Other chronic disease of tonsils and adenoids	ICD9CM:4748
<a_160><b_228><c_175>	Peritonsillar abscess	ICD9CM:475
<a_244><b_246><c_115>	Allergic rhinitis due to other allergen	ICD9CM:4778
<a_244><b_34><c_67>	Allergic rhinitis, cause unspecified	ICD9CM:4779
<a_244><b_220><c_160>	Hypertrophy of nasal turbinates	ICD9CM:4780
<a_244><b_220><c_1>	Other disease of nasal cavity and sinuses	ICD9CM:47819
<a_160><b_101><c_142>	Unspecified disease of pharynx	ICD9CM:47820
<a_160><b_204><c_128>	Cellulitis of pharynx or nasopharynx	ICD9CM:47821
<a_160><b_157><c_22>	Parapharyngeal abscess	ICD9CM:47822
<a_160><b_157><c_146>	Retropharyngeal abscess	ICD9CM:47824
<a_160><b_13><c_128>	Edema of pharynx or nasopharynx	ICD9CM:47825
<a_160><b_50><c_96>	Other diseases of pharynx, not elsewhere classified	ICD9CM:47829
<a_160><b_244><c_173>	Paralysis of vocal cords or larynx, unspecified	ICD9CM:47830
<a_160><b_244><c_163>	Unilateral paralysis of vocal cords or larynx, partial	ICD9CM:47831
<a_160><b_244><c_41>	Unilateral paralysis of vocal cords or larynx, complete	ICD9CM:47832
<a_160><b_244><c_1>	Bilateral paralysis of vocal cords or larynx, partial	ICD9CM:47833
<a_160><b_244><c_112>	Bilateral paralysis of vocal cords or larynx, complete	ICD9CM:47834
<a_160><b_113><c_161>	Polyp of vocal cord or larynx	ICD9CM:4784
<a_160><b_246><c_129>	Other diseases of vocal cords	ICD9CM:4785
<a_160><b_205><c_242>	Edema of larynx	ICD9CM:4786
<a_160><b_100><c_53>	Stenosis of larynx	ICD9CM:47874
<a_160><b_73><c_92>	Laryngeal spasm	ICD9CM:47875
<a_160><b_50><c_21>	Other diseases of larynx, not elsewhere classified	ICD9CM:47879
<a_142><b_39><c_202>	Pneumonia due to respiratory syncytial virus	ICD9CM:4801
<a_142><b_39><c_22>	Pneumonia due to parainfluenza virus	ICD9CM:4802
<a_142><b_39><c_232>	Pneumonia due to other virus not elsewhere classified	ICD9CM:4808
<a_142><b_34><c_227>	Viral pneumonia, unspecified	ICD9CM:4809
<a_167><b_255><c_53>	Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia]	ICD9CM:481
<a_167><b_172><c_53>	Pneumonia due to Klebsiella pneumoniae	ICD9CM:4820
<a_167><b_38><c_91>	Pneumonia due to Pseudomonas	ICD9CM:4821
<a_167><b_255><c_207>	Pneumonia due to Hemophilus influenzae [H. influenzae]	ICD9CM:4822
<a_167><b_15><c_95>	Pneumonia due to Streptococcus, unspecified	ICD9CM:48230
<a_167><b_120><c_23>	Pneumonia due to Streptococcus, group B	ICD9CM:48232
<a_167><b_221><c_54>	Pneumonia due to other Streptococcus	ICD9CM:48239
<a_167><b_1><c_112>	Pneumonia due to Staphylococcus, unspecified	ICD9CM:48240
<a_167><b_132><c_17>	Methicillin susceptible pneumonia due to Staphylococcus aureus	ICD9CM:48241
<a_167><b_132><c_1>	Methicillin resistant pneumonia due to Staphylococcus aureus	ICD9CM:48242
<a_167><b_232><c_242>	Other Staphylococcus pneumonia	ICD9CM:48249
<a_167><b_38><c_71>	Pneumonia due to anaerobes	ICD9CM:48281
<a_167><b_38><c_161>	Pneumonia due to escherichia coli [E. coli]	ICD9CM:48282
<a_167><b_38><c_206>	Pneumonia due to other gram-negative bacteria	ICD9CM:48283
<a_167><b_158><c_40>	Pneumonia due to Legionnaires' disease	ICD9CM:48284
<a_167><b_33><c_95>	Pneumonia due to other specified bacteria	ICD9CM:48289
<a_167><b_33><c_117>	Bacterial pneumonia, unspecified	ICD9CM:4829
<a_142><b_241><c_197>	Pneumonia due to mycoplasma pneumoniae	ICD9CM:4830
<a_167><b_215><c_105>	Pneumonia due to other specified organism	ICD9CM:4838
<a_142><b_10><c_222>	Pneumonia in cytomegalic inclusion disease	ICD9CM:4841
<a_142><b_224><c_173>	Pneumonia in whooping cough	ICD9CM:4843
<a_7><b_108><c_49>	Pneumonia in aspergillosis	ICD9CM:4846
<a_7><b_108><c_140>	Pneumonia in other systemic mycoses	ICD9CM:4847
<a_142><b_152><c_96>	Pneumonia in other infectious diseases classified elsewhere	ICD9CM:4848
<a_142><b_1><c_95>	Bronchopneumonia, organism unspecified	ICD9CM:485
<a_142><b_1><c_202>	Pneumonia, organism unspecified	ICD9CM:486
<a_142><b_167><c_88>	Influenza with pneumonia	ICD9CM:4870
<a_142><b_38><c_71>	Influenza with other respiratory manifestations	ICD9CM:4871
<a_142><b_197><c_221>	Influenza due to identified avian influenza virus with pneumonia	ICD9CM:48801
<a_142><b_197><c_97>	Influenza due to identified 2009 H1N1 influenza virus	ICD9CM:4881
<a_236><b_53><c_92>	Bronchitis, not specified as acute or chronic	ICD9CM:490
<a_236><b_205><c_42>	Obstructive chronic bronchitis without exacerbation	ICD9CM:49120
<a_236><b_141><c_28>	Obstructive chronic bronchitis with (acute) exacerbation	ICD9CM:49121
<a_236><b_141><c_161>	Obstructive chronic bronchitis with acute bronchitis	ICD9CM:49122
<a_236><b_158><c_58>	Other chronic bronchitis	ICD9CM:4918
<a_236><b_39><c_127>	Unspecified chronic bronchitis	ICD9CM:4919
<a_190><b_108><c_73>	Emphysematous bleb	ICD9CM:4920
<a_190><b_89><c_84>	Other emphysema	ICD9CM:4928
<a_236><b_171><c_91>	Extrinsic asthma, unspecified	ICD9CM:49300
<a_236><b_238><c_162>	Extrinsic asthma with (acute) exacerbation	ICD9CM:49302
<a_236><b_171><c_189>	Chronic obstructive asthma, unspecified	ICD9CM:49320
<a_236><b_236><c_177>	Chronic obstructive asthma with status asthmaticus	ICD9CM:49321
<a_236><b_238><c_24>	Chronic obstructive asthma with (acute) exacerbation	ICD9CM:49322
<a_236><b_176><c_115>	Asthma, unspecified type, unspecified	ICD9CM:49390
<a_236><b_171><c_95>	Asthma, unspecified type, with status asthmaticus	ICD9CM:49391
<a_236><b_152><c_206>	Asthma, unspecified type, with (acute) exacerbation	ICD9CM:49392
<a_236><b_214><c_175>	Bronchiectasis without acute exacerbation	ICD9CM:4940
<a_236><b_225><c_161>	Bronchiectasis with acute exacerbation	ICD9CM:4941
<a_199><b_77><c_1>	Other specified allergic alveolitis and pneumonitis	ICD9CM:4958
<a_199><b_77><c_70>	Unspecified allergic alveolitis and pneumonitis	ICD9CM:4959
<a_236><b_181><c_175>	Chronic airway obstruction, not elsewhere classified	ICD9CM:496
<a_199><b_8><c_176>	Coal workers' pneumoconiosis	ICD9CM:500
<a_199><b_8><c_126>	Asbestosis	ICD9CM:501
<a_199><b_8><c_71>	Pneumoconiosis due to other silica or silicates	ICD9CM:502
<a_199><b_223><c_52>	Bronchitis and pneumonitis due to fumes and vapors	ICD9CM:5060
<a_199><b_76><c_251>	Pneumonitis due to inhalation of food or vomitus	ICD9CM:5070
<a_199><b_197><c_16>	Pneumonitis due to inhalation of oils and essences	ICD9CM:5071
<a_199><b_197><c_157>	Pneumonitis due to other solids and liquids	ICD9CM:5078
<a_199><b_72><c_137>	Acute pulmonary manifestations due to radiation	ICD9CM:5080
<a_199><b_8><c_160>	Chronic and other pulmonary manifestations due to radiation	ICD9CM:5081
